County,Month,Calendar Year,CalFresh Persons,CalFresh Households,Child Only Persons,Total Issuances,Caseload Total Student Count,All Federal Persons,All CFAP Persons,Total SSI Persons in SNB Households,Total SSI  Persons in TNB Households,State Issuances,EBT_SNB_dollars,EBT_TNB_dollars,Unemployment Monthly,Active Error Rate,Negative Error Rate,Negative Error Rate on Completed Cases,Applications Approved Containing at Least One Student,Applications Denied Containing at Least One Student,Applications Pended Containing at Least One Student,New Apps with at Least Some SSI - Approved,New Apps with at Least Some SSI - Denied,Ineligible Denials - SSI,Procedural Denials - SSI,SSI Only - Ineligible Denials,SSI Only Procedural Denials,Online Apps - SSI,Non-Online Apps - SSI,Applications Received,Online Applications Received,All_GCF_apps_submit,CfA_GCF_apps_submit,CBO_GCF_apps_submit,SSA_GCF_apps_submit,Average Age of SSI Persons Newly Applying,Average Days to Dispose - SSI,Average Approved Benefit - SSI,Denial reason - CF Missed Interview,Denial Reason - FTP Income,Denial Reason - Failed to Complete Determination,Denial Reason - Ineligible,Denial Reason - Ineligible CF Student,Denial Reason - Unavailable,Denial Reason - Out of the Home,Denial Reason - Over Income,Denial Reason - Procedural,Applications Submitted via BenefitsCal,Applications Submitted via Code for America,Applications Submitted via Other Online Source,Applications Submitted via Other Source,New Applications Age  17 and Under,New Applications Age 8 to 49,New Applications Age 50 and Over,New Applications Age Total,New Applications Avg Age,New Applications - ICT Transfers,New Applications Language Armenian,New Applications Language Cambodian,New Applications Language Cantonese,New Applications Language English,New Applications Langugage Farsi,New Applications Language Korean,New Applications Language Mandarin,New Applications Language  Other,New Applications Language Russian,New Applications Language Spanish,New Applications Language Vietnamese,New Applications Language Missing,New Applications Language Total,New Applications Hispanic,New Applications White,New Application Asian,New Applications Black or African_American,New Applications More Than One Race/Ethnicity,New Applications American Indian Alaskan Native,"New Applications Native Hawaiian Pacific Islander ",New Applications Other Race/Ethnicity,New Applications Unknown Race/Ethnicity,New Applications Race/Ethnicity Total,New Applications Gender Female,New Applications Gender Male,New Applications Gender Other,New Applications Gender Declined_to_State,New Applications Gender Total,New Applications Exemptions- Employment and Training Program,New Applications Exemptions-Other Employment and Training Program,New Applications Exemptions-LPIE,New Applications Exemptions- Employed 20 Hours Week,New Applications Exemptions-Care of a Child,New Applications Exemptions- Work Study,SSI Disposed HH Language - Armenian,SSI Disposed HH Language - Cambodian,SSI Disposed HH Language - Cantonese,SSI Disposed HH Language - English,SSI Disposed HH Language - Farsi,SSI Disposed HH Language - Korean,SSI Disposed HH Language - Mandarin,SSI Disposed HH Language - Other,SSI Disposed HH Language - Russian,SSI Disposed HH Language - Spanish,SSI Disposed HH Language - Vietnamese," SSI Person Race/Ethnicity - Hispanic"," SSI Person Race/Ethnicity - White"," SSI Person Race/Ethnicity - Asian"," SSI Person Race/Ethnicity - Black or African American"," SSI Person Race/Ethnicity - More Than One Race/Ethnicity"," SSI Person Race/Ethnicity - American Indian or Alaska Native"," SSI Person Race/Ethnicity - Native Hawaiian or Other Pacific Islander"," SSI Person Race/Ethnicity - Other"," SSI Person Race/Ethnicity - Unknown",SSI Persons in New Apps Disposed,SSI-only HHs of 1 added in the month,SSI-only HHs of 2 added in the month,SSI only-HHs of 3+ added in the month,Total SSI-only HHs added in the month,Claim Shelter Deduction - SSI,Claim Standard Medical Deduction - SSI,"Claim Homeless Deduction - SSI "
Trinity,December,2022,"2,908","1,753",12,,,,,11,*,,"1,552",921,4.70%,8.09%,55.00%,20,,,,4,1,1,0,1,0,1,4,106,51,34,34,0,0,53,7,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0,0,0,0,0,0,0,0,*,*,0,0,*,0,0,0,*,3,0,0,3,*,0,0
Tulare,December,2022,"128,631","59,900","11,883",,,,,724,159,,"128,176","20,607",8.20%,5.54%,33.33%,3,,,,143,23,16,7,2,1,58,108,"3,248","1,418","1,196","1,190",6,0,42,23,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,104,0,0,0,2,0,60,0,112,23,*,*,0,0,*,*,40,190,65,5,0,70,166,*,0
Tuolumne,December,2022,"6,231","4,119",39,,,,,21,*,,"2,893",649,4.00%,8.09%,55.00%,20,,,,14,3,1,2,0,1,5,12,304,139,87,87,0,0,49,16,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,17,0,0,0,0,0,0,0,*,14,0,0,*,0,0,0,*,21,12,0,0,12,*,*,*
Ventura,December,2022,"75,163","41,889","10,049",,,,,256,39,,"42,622","6,454",3.20%,9.97%,0.00%,3,,,,89,22,7,15,2,7,52,59,"3,034","1,962","1,783","1,768",15,0,47,15,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,79,0,1,0,1,0,30,0,43,19,*,0,*,0,*,*,47,121,61,2,0,63,111,*,*
Yolo,December,2022,"22,301","14,496",856,,,,,85,36,,"12,765","2,722",3.60%,8.09%,55.00%,20,,,,27,22,7,15,2,1,15,34,"1,714",961,"1,012",944,68,0,49,48,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,43,0,0,0,0,1,5,0,13,15,*,*,0,*,0,*,23,75,18,2,0,20,28,*,0
Yuba,December,2022,"18,035","9,564",510,,,,,155,28,,"24,931","4,407",5.60%,8.09%,55.00%,20,,,,26,10,4,5,0,1,10,26,551,319,230,228,2,0,39,9,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,35,0,0,0,1,0,0,0,*,30,*,*,*,*,0,0,*,49,17,0,0,17,12,0,0
Statewide,January,2023,"5,272,201","3,009,729","369,192","$1,358,665,324",158921,5228179,44022,"19,679","3,785","$7,487,370","3,138,799","553,326",3.70%,10.92%,39.29%,224,12212,16375,8068,"7,328","2,370",904,1433,108,157,5145,4552,"274,264","182,441","140,920","135,946","4,767",207,47,19,182,1322,760,840,1929,0,6310,791,976,1275,3097,10203,17614,5741,84,41358,526,41968,24,309,0,,74,39040,21,29,22,61,23,2526,161,,41968,10153,5508,3364,2576,7612,91,94,1189,11381,41968,27574,13927,122,345,41968,14513,12839,,3239,4130,1978,20,20,120,"7,121",54,76,82,193,44,"1,795",173,"3,741","2,769","1,587","1,929",948,81,32,307,"2,528","13,922","4,863",347,7,"5,217",7428,114,124
Alameda,January,2023,"167,060","103,991","8,245",,7749,,,777,70,,"119,799","9,705",2.70%,6.21%,25.00%,8,891,917,0,271,41,18,23,4,8,167,145,"10,285","7,769","7,198","6,405",792,1,55,10,125,0,0,0,32,0,625,39,0,43,0,0,1622,186,,1934,,1952,24,11,0,0,17,1862,,0,0,,0,58,,0,1952,164,77,156,87,196,,,95,1171,1952,1300,640,,,1952,227,221,,0,74,76,0,2,19,238,5,0,7,12,2,21,6,28,20,72,79,*,0,*,14,152,376,197,21,1,219,312,*,*
Alpine,January,2023,140,78,0,,,,,*,0,,124,0,4.20%,11.59%,51.72%,29,0,0,0,1,1,0,1,0,0,0,2,5,0,1,1,0,0,61,9,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*,0,0,0,0,*,*,0
Amador,January,2023,"4,080","2,376",*,,44,,,13,*,,"1,499",573,4.10%,11.59%,51.72%,29,0,3,2,6,2,2,0,0,0,2,6,226,119,79,79,0,0,42,14,273,0,0,0,0,0,0,0,2,1,1,2,0,2,0,,0,,29,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,,,,0,0,,0,0,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,*,*,5,0,0,5,*,0,0
Butte,January,2023,"37,613","23,912",446,,3417,,,257,56,,"39,701","7,379",4.00%,11.59%,51.72%,29,252,165,312,68,24,7,17,0,1,57,35,"2,236","1,725","1,418","1,320",94,4,42,33,186,42,24,3,34,0,0,0,11,51,68,523,109,29,,811,,815,23,9,0,0,0,807,0,0,,0,0,,0,0,815,136,275,26,29,198,,,,140,815,474,324,,,815,577,439,,102,47,115,0,0,0,86,0,0,0,0,0,6,0,*,75,*,*,*,*,0,*,13,120,47,2,0,49,55,0,0
Calaveras,January,2023,"5,813","3,454",49,,51,,,20,*,,"3,404","1,065",3.20%,11.59%,51.72%,29,3,4,5,10,5,1,4,0,0,6,9,263,155,105,105,0,0,46,27,269,1,1,0,1,0,0,0,0,1,2,6,0,4,0,12,0,12,26,2,0,0,0,12,0,0,0,0,0,0,0,0,12,0,,0,0,,0,0,0,,12,,,0,0,12,,0,,,,,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,*,0,0,0,*,16,7,0,0,7,*,*,0
Colusa,January,2023,"2,810","1,430",245,,53,,,12,0,,"1,777",0,12.20%,11.59%,51.72%,29,3,7,8,5,0,0,0,0,0,2,3,156,100,84,68,16,0,37,12,244,0,0,3,2,0,0,1,0,1,1,13,1,3,0,22,0,22,23,0,0,0,0,,0,0,0,0,0,,0,0,22,13,0,0,0,,0,0,0,,22,17,,0,,22,,,,,,0,0,0,0,4,0,0,0,0,0,1,0,*,*,0,0,*,0,0,0,0,*,4,0,0,4,*,0,0
Contra Costa,January,2023,"98,047","56,228","6,258",,1949,,,611,110,,"100,322","15,328",2.90%,3.38%,0.00%,4,132,231,40,176,28,17,11,4,4,125,79,"4,482","3,472","3,687","3,516",165,6,48,27,179,0,0,0,4,0,153,19,0,12,0,0,359,44,,424,,441,27,8,0,0,,421,0,0,0,0,0,,0,0,441,70,55,32,56,59,0,,,145,441,292,,0,,441,40,34,,0,40,,0,1,1,172,3,0,3,4,2,15,3,31,40,19,61,*,0,0,*,76,239,128,7,0,135,204,*,*
Del Norte,January,2023,"6,324","3,772",50,,75,,,52,35,,"8,139","4,912",4.70%,11.59%,51.72%,29,3,3,5,12,5,2,3,0,0,3,14,237,88,62,62,0,0,41,14,98,1,0,1,1,0,0,0,0,0,0,2,4,5,0,,,18,30,1,0,0,0,,0,0,0,0,0,,0,0,18,,11,0,0,,,0,0,,18,,,0,0,18,,,,,,0,0,0,0,16,0,0,0,0,0,1,0,*,31,*,0,*,*,0,0,*,50,7,0,0,7,*,0,0
El Dorado,January,2023,"13,215","8,351",269,,196,,,31,14,,"4,461","2,164",2.80%,11.59%,51.72%,29,9,13,25,26,8,5,3,0,0,12,22,835,514,379,377,1,1,43,33,160,2,3,1,3,0,0,0,1,3,7,19,12,9,0,,,54,28,0,0,0,0,,0,0,0,0,0,,0,0,54,,27,,,,0,0,,,54,34,16,,,54,12,,,,,,0,0,0,33,0,0,0,1,0,0,0,*,21,*,*,*,0,0,*,13,44,18,0,0,18,23,0,0
Fresno,January,2023,"243,063","118,079","19,774",,5393,,,"1,170",170,,"205,633","25,685",6.20%,6.32%,33.33%,9,342,871,0,273,42,17,25,3,5,197,118,"8,303","6,723","5,448","5,340",97,11,44,20,185,0,0,0,24,0,598,93,0,12,0,0,1045,168,,1316,,1345,25,10,0,0,0,1208,0,0,0,0,0,137,0,0,1345,447,109,86,44,147,,,31,469,1345,838,500,,,1345,159,154,,0,134,,1,2,0,224,1,0,0,31,0,56,0,137,45,43,36,*,*,0,*,120,396,147,16,1,164,315,*,*
Glenn,January,2023,"4,253","2,177",193,,58,,,33,*,,"4,997","1,214",5.20%,11.59%,51.72%,29,6,8,3,7,6,0,5,0,0,6,7,189,91,69,66,3,0,35,16,376,1,0,1,1,0,0,1,1,3,1,5,6,5,0,,,20,25,1,0,0,0,,0,0,0,0,0,,0,0,20,,,0,0,,0,0,0,,20,,,0,0,20,,,,0,,0,0,0,0,11,0,0,0,0,0,2,0,*,11,0,0,*,0,0,0,*,18,3,0,0,3,*,0,0
Humboldt,January,2023,"27,408","17,672",499,,1396,,,136,29,,"20,414","3,621",3.40%,11.59%,51.72%,29,101,66,170,37,10,5,5,0,0,21,26,"1,674","1,000",787,784,1,2,45,30,131,12,3,23,19,0,0,0,5,4,35,188,65,49,,377,,384,25,1,0,0,0,,0,0,0,0,0,,0,0,384,40,146,,,73,12,0,,97,384,223,127,,,384,270,162,,32,16,12,0,0,0,45,0,0,0,2,0,0,0,*,45,0,*,*,*,0,0,*,66,28,1,0,29,28,0,*
Imperial,January,2023,"47,360","23,152","1,352",,996,,,223,44,,"34,606","7,477",14.80%,11.59%,51.72%,29,41,54,27,73,29,9,18,0,0,53,49,"1,588",956,584,577,2,5,49,14,197,3,1,12,12,0,0,1,8,17,18,65,0,39,,184,,191,25,3,0,0,0,121,0,0,0,0,0,70,0,0,191,70,12,,0,100,0,0,,,191,120,71,0,0,191,56,41,,28,36,,0,0,0,37,0,0,0,0,0,65,0,83,21,0,*,40,*,0,0,13,161,46,4,0,50,60,*,0
Inyo,January,2023,"2,203","1,273",68,,19,,,*,0,,414,0,3.10%,11.59%,51.72%,29,1,1,1,1,1,0,1,0,0,0,2,104,63,46,46,0,0,34,4,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,,0,,27,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,0,,,0,0,0,,,0,0,0,,0,0,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,*,0,0,0,*,0,0,*,*,1,0,0,1,0,0,0
Kern,January,2023,"188,117","90,160","13,929",,3470,,,882,196,,"145,934","26,511",6.70%,3.71%,28.57%,7,213,297,341,281,129,42,86,5,1,196,214,"8,898","5,250","3,353","3,338",13,2,39,35,282,80,20,58,38,0,0,12,51,38,179,324,129,219,,997,,1017,24,14,0,0,0,909,0,0,0,,0,,0,0,1017,330,205,41,60,257,,,,113,1017,747,270,0,0,1017,433,222,,149,207,16,0,0,0,320,0,0,0,2,0,88,0,148,146,21,94,44,*,0,*,96,555,147,5,0,152,274,*,*
Kings,January,2023,"28,822","14,111","2,037",,593,,,107,45,,"16,887","6,452",6.80%,11.59%,51.72%,29,50,66,35,38,18,8,10,0,0,21,35,"1,441",782,466,463,3,0,41,9,128,14,2,1,16,0,0,1,9,23,23,73,3,52,0,196,0,196,24,5,0,0,0,176,0,0,0,0,0,20,0,0,196,70,23,,,51,,0,0,44,196,137,,0,,196,34,34,,48,48,,0,0,0,40,0,0,0,0,0,16,0,25,14,*,*,11,0,0,0,28,90,20,3,1,24,38,0,0
Lake,January,2023,"16,094","9,753",501,,151,,,86,29,,"13,537","3,979",5.10%,11.59%,51.72%,29,7,8,10,23,10,5,5,1,0,15,18,638,389,281,271,10,0,45,20,232,1,2,0,1,0,0,0,1,3,4,9,7,5,0,33,0,33,27,1,0,0,0,,0,0,0,0,0,,0,0,33,,13,,,13,,0,0,0,33,16,,0,,33,13,,,,,,0,0,0,31,0,0,0,0,0,2,0,*,29,*,*,*,*,0,*,*,46,16,0,0,16,21,0,0
Lassen,January,2023,"3,988","2,280",58,,132,,,19,*,,"3,274","1,431",4.10%,11.59%,51.72%,29,6,4,13,11,2,0,2,0,0,5,8,190,98,76,75,1,0,49,37,192,1,0,1,2,0,0,0,0,0,0,0,21,2,0,,,28,25,0,0,0,0,28,0,0,0,0,0,0,0,0,28,,17,,,,,0,0,,28,14,14,0,0,28,26,16,,,,,0,0,0,13,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,*,13,6,0,0,6,*,0,0
Los Angeles,January,2023,"1,552,352","944,929","121,525",,50462,,,"3,876",609,,"600,389","90,445",4.40%,13.22%,24.59%,61,3453,3166,3336,"2,298",717,343,369,37,45,1647,1367,"73,871","51,761","33,154","32,502",570,82,50,9,155,500,553,95,1031,0,0,108,566,313,2026,6287,30,1612,28,11746,135,11909,24,32,0,,13,10932,,17,16,30,,863,14,,11909,4149,1524,1107,1161,2693,14,18,269,974,11909,7730,4147,15,17,11909,7108,6606,,1381,1272,344,19,7,53,"2,041",17,56,41,24,9,730,18,"1,853",868,784,882,406,15,*,113,289,"5,218","1,593",127,2,"1,722",2155,20,43
Madera,January,2023,"33,230","15,397","4,829",,692,,,101,*,,"15,855","1,578",6.00%,11.59%,51.72%,29,38,32,50,23,9,3,6,0,1,9,23,"11,090",506,526,521,5,0,40,18,229,1,6,4,4,0,1,0,6,10,2,3,70,45,0,,,143,24,1,0,0,0,117,0,0,0,0,0,26,0,0,143,61,18,,,24,,0,,32,143,113,30,0,0,143,50,45,,25,26,0,0,0,0,18,0,0,0,0,0,14,0,16,*,0,*,*,0,0,*,18,48,11,2,0,13,20,*,0
Marin,January,2023,"14,298","9,627","1,953",,384,,,31,*,,"4,489","1,721",2.20%,11.59%,51.72%,29,7,31,57,9,4,1,3,0,0,7,6,708,446,368,342,26,0,52,22,210,6,2,4,9,0,0,3,2,5,17,66,1,11,0,,,105,24,0,0,0,0,,0,0,0,0,0,,0,0,105,21,24,,,29,0,0,,17,105,63,,,0,105,44,41,,,,,0,0,0,11,0,0,0,0,0,2,0,0,*,0,*,*,0,0,*,*,22,6,0,0,6,*,0,*
Mariposa,January,2023,"2,928","1,763",39,,31,,,*,*,,"1,497",442,4.50%,11.59%,51.72%,29,1,2,2,2,2,1,1,1,0,0,4,130,67,58,58,0,0,45,15,134,0,0,0,0,0,0,0,0,2,1,1,0,3,,,0,,27,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,0,0,,,,,,,,,,,,0,0,0,0,4,0,0,0,0,0,0,0,*,*,0,0,0,0,0,0,*,*,1,0,0,1,*,0,0
Mendocino,January,2023,"16,471","9,991",677,,165,,,48,16,,"6,714","2,103",3.80%,11.59%,51.72%,29,13,9,7,27,3,2,1,0,0,4,26,818,222,430,408,20,2,57,8,109,0,0,1,3,0,0,0,3,2,0,0,23,6,0,,,34,29,1,0,0,0,,0,0,0,0,0,,0,0,34,,19,0,,,,0,0,,34,,,0,0,34,11,,,,,,0,0,0,29,0,0,0,0,0,1,0,0,27,*,0,*,*,0,0,*,39,23,2,0,25,22,0,*
Merced,January,2023,"60,450","29,682","5,041",,2375,,,342,100,,"54,615","15,612",7.40%,7.05%,50.00%,2,137,123,251,76,34,10,23,2,1,46,64,"3,018","1,580","1,217","1,192",25,0,41,27,278,20,16,10,16,0,0,2,9,50,75,300,7,129,,573,,577,23,7,0,0,0,529,0,0,0,,0,,0,0,577,232,50,44,28,201,0,0,,,577,335,191,,,577,275,208,,95,58,27,0,0,0,71,0,0,0,2,0,37,0,66,27,14,19,16,*,*,*,*,154,33,4,0,37,66,0,0
Modoc,January,2023,"1,951","1,084",28,,,,,16,*,,"2,561",442,5.40%,11.59%,51.72%,29,1,1,1,4,0,0,0,0,0,1,3,72,29,20,20,0,0,51,8,86,0,0,0,1,0,0,0,0,0,1,1,0,1,0,,0,,26,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,,,,0,0,,,,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0,*,*,3,0,0,3,*,0,0
Mono,January,2023,760,462,43,,,,,*,0,,233,0,3.20%,11.59%,51.72%,29,1,1,1,0,0,0,0,0,0,0,0,52,36,26,26,0,0,.,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,0,,26,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,,,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monterey,January,2023,"53,411","26,423","12,237",,1232,,,119,27,,"18,595","4,286",6.90%,4.43%,51.72%,29,137,128,146,78,27,5,21,0,0,50,55,"3,386","1,857","1,460","1,390",70,0,39,18,260,20,14,25,25,0,0,2,14,28,14,127,166,104,,482,,488,24,4,0,0,0,401,0,0,0,0,0,,,0,488,181,52,19,13,131,0,,,84,488,332,148,,,488,230,210,,38,62,17,0,0,1,59,0,0,0,0,1,42,2,51,26,*,*,*,0,0,*,33,138,39,2,0,41,68,0,0
Napa,January,2023,"8,681","5,154","1,055",,137,,,20,12,,"3,215","1,875",3.00%,11.59%,51.72%,29,10,18,38,17,7,2,5,0,0,12,12,597,384,288,284,4,0,47,22,177,1,2,1,7,0,0,1,4,2,13,28,14,11,0,80,0,80,24,0,0,0,0,,0,0,0,0,0,,0,0,80,12,18,,,29,0,0,0,11,80,54,26,0,0,80,21,20,,,13,,0,0,0,20,0,0,0,0,0,4,0,*,13,*,*,*,0,0,*,*,33,13,1,0,14,15,0,0
Nevada,January,2023,"10,287","6,612",120,,212,,,19,*,,"2,587",522,2.80%,11.59%,51.72%,29,20,20,23,18,8,4,4,0,0,15,11,637,427,255,252,2,1,45,30,128,5,2,2,4,0,0,2,2,3,16,27,11,9,0,,,68,31,2,0,0,0,68,0,0,0,0,0,0,0,0,68,,36,0,,17,0,,,,68,49,19,0,0,68,23,18,,,,,0,0,0,26,0,0,0,0,0,0,0,0,22,*,*,0,0,0,0,*,30,18,0,0,18,14,0,0
Orange,January,2023,"304,038","179,416","28,606",,12306,,,911,148,,"141,661","23,236",2.50%,9.99%,75.00%,16,1071,1621,0,314,72,37,35,2,4,179,207,"16,033","10,980","9,602","9,338",251,13,50,16,187,0,0,0,41,0,1076,99,0,53,0,0,2221,471,,2944,,2991,24,14,0,0,,2748,,,0,,0,156,73,0,2991,711,348,444,82,217,,,128,1045,2991,1947,1020,,,2991,567,549,,0,163,38,0,0,1,207,13,13,4,3,0,73,72,144,59,132,*,11,*,0,13,99,468,190,22,0,212,386,*,*
Placer,January,2023,"21,506","12,765",591,,555,,,75,*,,"10,385",605,2.50%,11.59%,51.72%,29,37,59,80,49,40,11,29,5,8,58,31,"1,718","1,232",902,882,17,3,50,35,215,14,8,12,10,0,0,1,5,9,46,96,4,30,0,,,216,28,6,0,0,0,,0,0,0,0,,,0,0,216,17,64,13,,39,,0,14,59,216,141,71,,,216,50,45,,,46,16,0,0,0,86,0,0,0,2,1,0,0,*,50,11,*,*,*,0,*,53,128,36,3,0,39,51,*,0
Plumas,January,2023,"2,493","1,543",18,,209,,,*,*,,"1,366",301,6.90%,11.59%,51.72%,29,5,4,9,5,2,2,0,0,0,2,5,132,85,61,61,0,0,49,25,110,1,0,2,0,0,0,1,0,0,2,12,0,4,0,19,0,19,22,0,0,0,0,19,0,0,0,0,0,0,0,0,19,,,0,,,,,0,,19,,,0,0,19,18,,,,0,,0,0,0,6,0,0,0,0,0,1,0,*,*,0,*,0,0,0,0,*,*,3,0,0,3,*,0,0
Riverside,January,2023,"311,748","164,546","16,707",,6658,,,660,144,,"104,276","21,795",3.70%,3.05%,40.00%,15,462,664,806,441,201,60,135,2,4,376,266,"18,076","13,425","10,295","10,201",82,12,46,20,202,155,57,70,125,0,0,5,97,155,82,315,1323,212,,2164,,2194,24,33,0,0,0,2085,,0,,,0,104,,0,2194,521,311,174,193,545,,,33,410,2194,1484,637,,,2194,764,683,,275,362,115,0,0,2,504,0,1,3,4,0,126,2,207,187,45,124,78,*,*,18,230,894,286,24,0,310,404,*,0
Sacramento,January,2023,"255,288","138,315","7,521",,7248,,,"1,674",309,,"275,596","43,455",3.50%,6.34%,45.45%,11,538,898,0,406,89,34,55,6,25,246,249,"12,185","7,922","6,103","5,945",149,9,46,20,185,0,0,0,28,0,631,68,0,35,0,0,1194,242,,1561,,1597,26,13,0,0,,1507,,0,0,,15,49,,0,1597,236,193,162,142,187,,,103,558,1597,1021,542,15,19,1597,119,116,,0,173,12,0,3,8,390,5,0,3,29,20,23,14,66,73,68,135,35,*,*,28,194,612,269,21,1,291,495,*,14
San Benito,January,2023,"6,442","3,280",574,,125,,,12,*,,"1,900",884,4.60%,11.59%,51.72%,29,16,9,17,10,2,0,2,0,0,5,7,361,213,167,164,3,0,48,18,144,0,0,4,3,0,0,1,1,0,4,20,4,14,0,,,46,26,1,0,0,0,,0,0,0,0,0,,0,0,46,23,,,,13,0,0,0,,46,29,,0,,46,13,11,,12,11,0,0,0,0,8,0,0,0,0,0,4,0,*,*,0,0,*,0,0,*,*,16,7,2,0,9,*,0,0
San Bernardino,January,2023,"353,643","179,647","18,746",,6469,,,"1,230",341,,"197,867","49,950",3.60%,5.29%,40.00%,15,362,803,1086,475,320,74,237,10,4,392,403,"18,238","11,333","7,731","7,672",51,8,42,24,226,46,3,384,142,0,0,10,100,118,183,441,1120,507,,2644,,2680,25,46,0,0,0,2562,0,,,,0,112,,0,2680,665,419,157,271,778,,,36,343,2680,1879,778,,,2680,537,485,,387,458,64,0,0,0,639,1,5,6,7,2,127,8,250,248,85,213,93,*,*,11,216,"1,123",301,15,0,316,425,*,*
San Diego,January,2023,"392,105","228,880","15,761",,12358,,,"1,619",117,,"262,301","18,118",2.90%,7.60%,61.11%,18,1167,2607,0,442,114,59,55,7,17,385,171,"22,129","17,915","14,023","13,323",680,20,49,20,165,0,0,0,123,0,1505,167,0,63,0,0,3439,335,,4002,,4064,24,7,0,0,,3834,0,,0,,0,204,,0,4064,464,291,182,125,416,,,143,2433,4064,2656,1403,,,4064,411,373,,0,220,313,0,1,1,379,4,0,2,41,3,108,17,157,75,31,49,22,*,*,11,294,642,311,15,0,326,556,16,15
San Francisco,January,2023,"101,249","73,802","4,487",,3361,,,509,45,,"70,884","5,806",2.00%,9.11%,50.00%,4,235,400,0,148,12,10,2,5,1,79,81,"4,903","3,423","3,232","3,036",189,7,54,19,142,0,0,0,14,0,252,9,0,16,0,0,595,40,0,,,668,24,4,0,0,26,624,0,0,,,0,13,,0,668,41,37,69,34,50,,,,414,668,432,220,,,668,64,38,,0,,12,0,0,27,111,1,0,3,0,1,16,1,20,*,26,24,*,0,*,*,97,189,115,7,0,122,160,0,*
San Joaquin,January,2023,"115,758","60,032","7,183",,1928,,,607,329,,"98,327","51,233",5.20%,3.54%,40.00%,5,108,189,209,162,73,20,52,4,1,132,103,"4,973","3,212","2,734","2,711",21,2,42,28,244,32,2,51,30,0,0,3,30,41,84,265,40,117,,594,,603,24,9,0,0,0,571,0,0,0,0,0,,,0,603,128,76,87,41,147,,,12,105,603,427,,0,,603,151,137,,101,111,,0,2,1,205,0,0,1,3,0,21,2,63,55,80,65,25,*,0,*,78,372,100,8,0,108,143,*,*
San Luis Obispo,January,2023,"23,356","15,323","1,851",,1677,,,54,27,,"8,168","3,633",2.40%,11.59%,51.72%,29,279,202,0,28,2,0,2,0,2,11,19,"1,589","1,196","1,293","1,185",107,1,52,15,157,0,0,0,4,0,144,4,0,3,0,0,460,21,0,,,505,22,2,0,0,0,,0,0,0,0,0,,0,0,505,20,47,,,24,0,0,,401,505,294,,0,,505,209,97,,0,11,11,0,0,0,28,0,0,0,0,0,2,0,*,*,0,*,0,0,0,0,21,31,25,0,0,25,30,*,*
San Mateo,January,2023,"32,936","20,335","3,870",,641,,,96,25,,"13,968","3,364",1.90%,11.59%,51.72%,29,62,159,0,45,14,6,8,0,0,34,25,"2,459","1,725","1,661","1,564",96,1,50,21,173,0,0,0,5,0,100,19,0,3,0,0,191,30,,237,,240,25,2,0,0,,224,0,0,,0,0,,0,0,240,45,14,16,,29,0,0,,116,240,154,,0,,240,,,,0,17,,0,0,3,38,1,0,1,4,0,12,0,18,*,*,*,*,*,*,*,33,75,35,3,0,38,59,*,*
